bar_code,Family,Genus,species,X,Y,value,variable_id
P104804,Lecythidaceae,Eschweilera,coriacea,45,17,12.090559567191919,1
P104804,Lecythidaceae,Eschweilera,coriacea,45,17,184.0512722131323,2
P104804,Lecythidaceae,Eschweilera,coriacea,45,17,1.5872544185546364,3
P104804,Lecythidaceae,Eschweilera,coriacea,45,17,61.03808915120262,9
P104804,Lecythidaceae,Eschweilera,coriacea,45,17,90.99200767017098,10
P104804,Lecythidaceae,Eschweilera,coriacea,45,17,11.73184718526759,11
P880832,Lecythidaceae,Eschweilera,coriacea,50,6,26.652345098984238,1
P880832,Lecythidaceae,Eschweilera,coriacea,50,6,214.28344376045467,2
P880832,Lecythidaceae,Eschweilera,coriacea,50,6,1.8150473564290417,3
P880832,Lecythidaceae,Eschweilera,coriacea,50,6,91.06600058135021,9
P880832,Lecythidaceae,Eschweilera,coriacea,50,6,83.68999152332444,10
P880832,Lecythidaceae,Eschweilera,coriacea,50,6,10.228501794184762,11
P121370,Lecythidaceae,Eschweilera,coriacea,39,51,10.224051762577862,1
P121370,Lecythidaceae,Eschweilera,coriacea,39,51,166.53083691803553,2
P121370,Lecythidaceae,Eschweilera,coriacea,39,51,1.6352963859146719,3
P121370,Lecythidaceae,Eschweilera,coriacea,39,51,76.84674850654646,9
P121370,Lecythidaceae,Eschweilera,coriacea,39,51,86.6177674795256,10
P121370,Lecythidaceae,Eschweilera,coriacea,39,51,12.34381143908964,11
P242895,Lecythidaceae,Eschweilera,coriacea,26,32,52.286009842781475,1
P242895,Lecythidaceae,Eschweilera,coriacea,26,32,210.8191225123127,2
P242895,Lecythidaceae,Eschweilera,coriacea,26,32,1.3870667805900356,3
P242895,Lecythidaceae,Eschweilera,coriacea,26,32,85.07927430455265,9
P242895,Lecythidaceae,Eschweilera,coriacea,26,32,60.573019843090385,10
P242895,Lecythidaceae,Eschweilera,coriacea,26,32,8.921834457896905,11
P927156,Lecythidaceae,Eschweilera,coriacea,3,32,54.65440942700842,1
P927156,Lecythidaceae,Eschweilera,coriacea,3,32,237.20561377159902,2
P927156,Lecythidaceae,Eschweilera,coriacea,3,32,1.7524200618036858,3
P927156,Lecythidaceae,Eschweilera,coriacea,3,32,92.79142486947524,9
P927156,Lecythidaceae,Eschweilera,coriacea,3,32,64.99995498690889,10
P927156,Lecythidaceae,Eschweilera,coriacea,3,32,9.4363313775546,11
P547245,Lecythidaceae,Eschweilera,coriacea,66,68,21.200584271303818,1
P547245,Lecythidaceae,Eschweilera,coriacea,66,68,220.74686814566311,2
P547245,Lecythidaceae,Eschweilera,coriacea,66,68,2.403208364227616,3
P547245,Lecythidaceae,Eschweilera,coriacea,66,68,66.90152193551906,9
P547245,Lecythidaceae,Eschweilera,coriacea,66,68,75.56339317587471,10
P547245,Lecythidaceae,Eschweilera,coriacea,66,68,8.76493205846327,11
P141517,Lecythidaceae,Eschweilera,coriacea,23,90,32.98463736372969,1
P141517,Lecythidaceae,Eschweilera,coriacea,23,90,230.53745506454598,2
P141517,Lecythidaceae,Eschweilera,coriacea,23,90,1.613683193247963,3
P141517,Lecythidaceae,Eschweilera,coriacea,23,90,71.33493019945915,9
P141517,Lecythidaceae,Eschweilera,coriacea,23,90,69.25771071056462,10
P141517,Lecythidaceae,Eschweilera,coriacea,23,90,9.969349395252005,11
P618321,Lecythidaceae,Eschweilera,coriacea,88.5,19.5,20.52006801557079,1
